Name,ConversationIdentifier,ExtractedAccuracyScore,IsPrimaryExtensionArtifactPhase2,CalculatedStatus,ExpTransformerIsSyntaxFree
TA10842-GT1216-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-5-13739-2024-08-08-10842-Describe this in Natural -Trial-,13739,5.000,,FREE-Locked,1 checked out of 1
TA11483-GT1215-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-4-13759-2024-08-08-11483-Describe this in Natural -Trial-,13759,4.000,,FREE-Locked,1 checked out of 1
TA14346-GT1216-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-5-13759-2024-08-08-14346-Describe this in Natural -Trial-,13759,4.000,,FREE-Locked,1 checked out of 1
TA14428-GT1214-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-3-13759-2024-08-08-14428-Describe this in Natural -Trial-,13759,4.000,,FREE-Locked,1 checked out of 1
TA11429-GT1214-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-3-13779-2024-08-08-11429-Describe this in Natural -Trial-,13779,4.000,,FREE-Locked,1 checked out of 1
TA11451-GT1215-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-4-13779-2024-08-08-11451-Describe this in Natural -Trial-,13779,4.000,,FREE-Locked,1 checked out of 1
TA14358-GT1216-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-5-13779-2024-08-08-14358-Describe this in Natural -Trial-,13779,4.000,,FREE-Locked,1 checked out of 1
TA10845-GT1216-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-5-13789-2024-08-08-10845-Describe this in Natural -Trial-,13789,5.000,,FREE-Locked,1 checked out of 1
TA10860-GT1214-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-3-13789-2024-08-08-10860-Describe this in Natural -Trial-,13789,5.000,,FREE-Locked,1 checked out of 1
TA10878-GT1215-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-4-13789-2024-08-08-10878-Describe this in Natural -Trial-,13789,5.000,,FREE-Locked,1 checked out of 1
TA11443-GT1214-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-3-13819-2024-08-08-11443-Describe this in Natural -Trial-,13819,4.000,,FREE-Locked,1 checked out of 1
TA11506-GT1216-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-5-13819-2024-08-08-11506-Describe this in Natural -Trial-,13819,4.000,,FREE-Locked,1 checked out of 1
TA14441-GT1215-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-4-13819-2024-08-08-14441-Describe this in Natural -Trial-,13819,5.000,,FREE-Locked,1 checked out of 1
TA10757-GT1214-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-3-13839-2024-08-08-10757-Describe this in Natural -Trial-,13839,5.000,,FREE-Locked,1 checked out of 1
TA14465-GT1216-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-5-13839-2024-08-08-14465-Describe this in Natural -Trial-,13839,5.000,,FREE-Locked,1 checked out of 1
TA11368-GT1216-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-5-13849-2024-08-08-11368-Describe this in Natural -Trial-,13849,4.000,,FREE-Locked,1 checked out of 1
TA10749-GT1215-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-4-13849-2024-08-08-10749-Describe this in Natural -Trial-,13849,5.000,,FREE-Locked,1 checked out of 1
TA10806-GT1214-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-3-13849-2024-08-08-10806-Describe this in Natural -Trial-,13849,5.000,,FREE-Locked,1 checked out of 1
TA10796-GT1216-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-5-13869-2024-08-08-10796-Describe this in Natural -Trial-,13869,5.000,,FREE-Locked,1 checked out of 1
TA11458-GT1215-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-4-13869-2024-08-08-11458-Describe this in Natural -Trial-,13869,4.000,,FREE-Locked,1 checked out of 1
TA14408-GT1214-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-3-13869-2024-08-08-14408-Describe this in Natural -Trial-,13869,5.000,,FREE-Locked,1 checked out of 1
TA11524-GT1214-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-3-13879-2024-08-08-11524-Describe this in Natural -Trial-,13879,1.000,,FREE-Locked,1 checked out of 1
TA11399-GT1216-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-5-13879-2024-08-08-11399-Describe this in Natural -Trial-,13879,4.000,,FREE-Locked,1 checked out of 1
TA14341-GT1215-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-4-13879-2024-08-08-14341-Describe this in Natural -Trial-,13879,3.000,,FREE-Locked,1 checked out of 1
TA10812-GT1216-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-5-13919-2024-08-08-10812-Describe this in Natural -Trial-,13919,5.000,,FREE-Locked,1 checked out of 1
TA14380-GT1214-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-3-13919-2024-08-08-14380-Describe this in Natural -Trial-,13919,4.000,,FREE-Locked,1 checked out of 1
TA14381-GT1215-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-4-13919-2024-08-08-14381-Describe this in Natural -Trial-,13919,4.000,,FREE-Locked,1 checked out of 1
TA10771-GT1215-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-4-13929-2024-08-08-10771-Describe this in Natural -Trial-,13929,5.000,,FREE-Locked,1 checked out of 1
TA10814-GT1216-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-5-13929-2024-08-08-10814-Describe this in Natural -Trial-,13929,5.000,,FREE-Locked,1 checked out of 1
TA14416-GT1214-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-3-13929-2024-08-08-14416-Describe this in Natural -Trial-,13929,4.000,,FREE-Locked,1 checked out of 1
TA11376-GT1214-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-3-13979-2024-08-08-11376-Describe this in Natural -Trial-,13979,4.000,,FREE-Locked,1 checked out of 1
TA10803-GT1215-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-4-13979-2024-08-08-10803-Describe this in Natural -Trial-,13979,5.000,,FREE-Locked,1 checked out of 1
TA10866-GT1216-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-5-13979-2024-08-08-10866-Describe this in Natural -Trial-,13979,5.000,,FREE-Locked,1 checked out of 1
TA11372-GT1215-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-4-14019-2024-08-08-11372-Describe this in Natural -Trial-,14019,4.000,,FREE-Locked,1 checked out of 1
TA11452-GT1216-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-5-14019-2024-08-08-11452-Describe this in Natural -Trial-,14019,4.000,,FREE-Locked,1 checked out of 1
TA10880-GT1214-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-3-14019-2024-08-08-10880-Describe this in Natural -Trial-,14019,5.000,,FREE-Locked,1 checked out of 1
TA10742-GT1214-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-3-14029-2024-08-08-10742-Describe this in Natural -Trial-,14029,5.000,,FREE-Locked,1 checked out of 1
TA14397-GT1215-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-4-14029-2024-08-08-14397-Describe this in Natural -Trial-,14029,5.000,,FREE-Locked,1 checked out of 1
TA14462-GT1216-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-5-14029-2024-08-08-14462-Describe this in Natural -Trial-,14029,5.000,,FREE-Locked,1 checked out of 1
TA14406-GT1216-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-5-14072-2024-08-08-14406-Describe this in Natural -Trial-,14072,5.000,,FREE-Locked,1 checked out of 1
TA10824-GT1214-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-3-14139-2024-08-08-10824-Describe this in Natural -Trial-,14139,5.000,,FREE-Locked,1 checked out of 1
TA10870-GT1216-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-5-14139-2024-08-08-10870-Describe this in Natural -Trial-,14139,5.000,,FREE-Locked,1 checked out of 1
TA14453-GT1215-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-4-14139-2024-08-08-14453-Describe this in Natural -Trial-,14139,4.000,,FREE-Locked,1 checked out of 1
TA10752-GT1215-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-4-14209-2024-08-08-10752-Describe this in Natural -Trial-,14209,5.000,,FREE-Locked,1 checked out of 1
TA10876-GT1216-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-5-14209-2024-08-08-10876-Describe this in Natural -Trial-,14209,5.000,,FREE-Locked,1 checked out of 1
TA14384-GT1214-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-3-14209-2024-08-08-14384-Describe this in Natural -Trial-,14209,5.000,,FREE-Locked,1 checked out of 1
TA11370-GT1215-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-4-14219-2024-08-08-11370-Describe this in Natural -Trial-,14219,4.000,,FREE-Locked,1 checked out of 1
TA11425-GT1214-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-3-14219-2024-08-08-11425-Describe this in Natural -Trial-,14219,4.000,,FREE-Locked,1 checked out of 1
TA11426-GT1216-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-5-14219-2024-08-08-11426-Describe this in Natural -Trial-,14219,4.000,,FREE-Locked,1 checked out of 1
TA11361-GT1214-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-3-14259-2024-08-08-11361-Describe this in Natural -Trial-,14259,4.000,,FREE-Locked,1 checked out of 1
TA11405-GT1215-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-4-14259-2024-08-08-11405-Describe this in Natural -Trial-,14259,4.000,,FREE-Locked,1 checked out of 1
TA10849-GT1216-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-5-14259-2024-08-08-10849-Describe this in Natural -Trial-,14259,5.000,,FREE-Locked,1 checked out of 1
TA11381-GT1214-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-3-14269-2024-08-08-11381-Describe this in Natural -Trial-,14269,4.000,,FREE-Locked,1 checked out of 1
TA11476-GT1216-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-5-14269-2024-08-08-11476-Describe this in Natural -Trial-,14269,4.000,,FREE-Locked,1 checked out of 1
TA14449-GT1215-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-4-14269-2024-08-08-14449-Describe this in Natural -Trial-,14269,4.000,,FREE-Locked,1 checked out of 1
TA10794-GT1215-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-4-14289-2024-08-08-10794-Describe this in Natural -Trial-,14289,5.000,,FREE-Locked,1 checked out of 1
TA14368-GT1214-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-3-14289-2024-08-08-14368-Describe this in Natural -Trial-,14289,4.000,,FREE-Locked,1 checked out of 1
TA14458-GT1216-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-5-14289-2024-08-08-14458-Describe this in Natural -Trial-,14289,5.000,,FREE-Locked,1 checked out of 1
TA10740-GT1215-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-4-14309-2024-08-08-10740-Describe this in Natural -Trial-,14309,5.000,,FREE-Locked,1 checked out of 1
TA10745-GT1214-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-3-14309-2024-08-08-10745-Describe this in Natural -Trial-,14309,5.000,,FREE-Locked,1 checked out of 1
TA10800-GT1216-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-5-14309-2024-08-08-10800-Describe this in Natural -Trial-,14309,5.000,,FREE-Locked,1 checked out of 1
TA10827-GT1214-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-3-14319-2024-08-08-10827-Describe this in Natural -Trial-,14319,5.000,,FREE-Locked,1 checked out of 1
TA11498-GT1215-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-4-14319-2024-08-08-11498-Describe this in Natural -Trial-,14319,4.000,,FREE-Locked,1 checked out of 1
TA14450-GT1216-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-5-14319-2024-08-08-14450-Describe this in Natural -Trial-,14319,4.000,,FREE-Locked,1 checked out of 1
TA10785-GT1215-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-4-14349-2024-08-08-10785-Describe this in Natural -Trial-,14349,5.000,,FREE-Locked,1 checked out of 1
TA10836-GT1216-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-5-14349-2024-08-08-10836-Describe this in Natural -Trial-,14349,5.000,,FREE-Locked,1 checked out of 1
TA11523-GT1214-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-3-14349-2024-08-08-11523-Describe this in Natural -Trial-,14349,3.000,,FREE-Locked,1 checked out of 1
TA11387-GT1216-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-5-14379-2024-08-08-11387-Describe this in Natural -Trial-,14379,4.000,,FREE-Locked,1 checked out of 1
TA11480-GT1214-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-3-14379-2024-08-08-11480-Describe this in Natural -Trial-,14379,4.000,,FREE-Locked,1 checked out of 1
TA14365-GT1215-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-4-14379-2024-08-08-14365-Describe this in Natural -Trial-,14379,4.000,,FREE-Locked,1 checked out of 1
TA11481-GT1216-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-5-14404-2024-08-08-11481-Describe this in Natural -Trial-,14404,4.000,,FREE-Locked,1 checked out of 1
TA11373-GT1216-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-5-14419-2024-08-08-11373-Describe this in Natural -Trial-,14419,4.000,,FREE-Locked,1 checked out of 1
TA10789-GT1214-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-3-14419-2024-08-08-10789-Describe this in Natural -Trial-,14419,5.000,,FREE-Locked,1 checked out of 1
TA10855-GT1215-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-4-14419-2024-08-08-10855-Describe this in Natural -Trial-,14419,5.000,,FREE-Locked,1 checked out of 1
TA10777-GT1214-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-3-14449-2024-08-08-10777-Describe this in Natural -Trial-,14449,5.000,,FREE-Locked,1 checked out of 1
TA14393-GT1215-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-4-14449-2024-08-08-14393-Describe this in Natural -Trial-,14449,4.000,,FREE-Locked,1 checked out of 1
TA14446-GT1216-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-5-14449-2024-08-08-14446-Describe this in Natural -Trial-,14449,5.000,,FREE-Locked,1 checked out of 1
TA10743-GT1216-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-5-14459-2024-08-08-10743-Describe this in Natural -Trial-,14459,5.000,,FREE-Locked,1 checked out of 1
TA14377-GT1215-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-4-14459-2024-08-08-14377-Describe this in Natural -Trial-,14459,5.000,,FREE-Locked,1 checked out of 1
TA14404-GT1214-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-3-14459-2024-08-08-14404-Describe this in Natural -Trial-,14459,4.000,,FREE-Locked,1 checked out of 1
TA11386-GT1214-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-3-14519-2024-08-08-11386-Describe this in Natural -Trial-,14519,4.000,,FREE-Locked,1 checked out of 1
TA10769-GT1216-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-5-14519-2024-08-08-10769-Describe this in Natural -Trial-,14519,5.000,,FREE-Locked,1 checked out of 1
TA11421-GT1215-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-4-14519-2024-08-08-11421-Describe this in Natural -Trial-,14519,4.000,,FREE-Locked,1 checked out of 1
TA10799-GT1214-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-3-14539-2024-08-08-10799-Describe this in Natural -Trial-,14539,5.000,,FREE-Locked,1 checked out of 1
TA14354-GT1216-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-5-14539-2024-08-08-14354-Describe this in Natural -Trial-,14539,5.000,,FREE-Locked,1 checked out of 1
TA14437-GT1215-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-4-14539-2024-08-08-14437-Describe this in Natural -Trial-,14539,5.000,,FREE-Locked,1 checked out of 1
TA10802-GT1214-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-3-14559-2024-08-08-10802-Describe this in Natural -Trial-,14559,5.000,,FREE-Locked,1 checked out of 1
TA14386-GT1216-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-5-14559-2024-08-08-14386-Describe this in Natural -Trial-,14559,5.000,,FREE-Locked,1 checked out of 1
TA14417-GT1215-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-4-14559-2024-08-08-14417-Describe this in Natural -Trial-,14559,5.000,,FREE-Locked,1 checked out of 1
TA10770-GT1214-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-3-14579-2024-08-08-10770-Describe this in Natural -Trial-,14579,5.000,,FREE-Locked,1 checked out of 1
TA11447-GT1215-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-4-14579-2024-08-08-11447-Describe this in Natural -Trial-,14579,4.000,,FREE-Locked,1 checked out of 1
TA10873-GT1216-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-5-14579-2024-08-08-10873-Describe this in Natural -Trial-,14579,5.000,,FREE-Locked,1 checked out of 1
TA10001-GT1193-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-1-10001-2024-08-07-10001-For our upcoming music st-Trial-,10001,5.000,1 checked out of 1,Syntax-FREE,1 checked out of 1
TA10888-GT1195-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-2-10001-2024-08-07-10888-Offline Playback Capabili-Trial-,10001,4.000,1 checked out of 1,Syntax-FREE,1 checked out of 1
TA10889-GT1196-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-3-10001-2024-08-07-10889-Voice-Activated Controls:-Trial-,10001,4.000,1 checked out of 1,Syntax-FREE,1 checked out of 1
TA10890-GT1197-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-4-10001-2024-08-07-10890-Customizable User Profile-Trial-,10001,4.000,1 checked out of 1,Syntax-FREE,1 checked out of 1
TA10004-GT1198-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-5-10001-2024-08-07-10004-Eco-conscious Subscriptio-Trial-,10001,5.000,1 checked out of 1,Syntax-FREE,1 checked out of 1
TA10007-GT1193-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-1-10007-2024-08-07-10007-For our upcoming music st-Trial-,10007,5.000,1 checked out of 1,Syntax-FREE,1 checked out of 1
TA10008-GT1195-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-2-10007-2024-08-07-10008-Offline Playback Capabili-Trial-,10007,5.000,1 checked out of 1,Syntax-FREE,1 checked out of 1
TA10009-GT1196-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-3-10007-2024-08-07-10009-Voice-Activated Controls:-Trial-,10007,5.000,1 checked out of 1,Syntax-FREE,1 checked out of 1
TA10010-GT1197-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-4-10007-2024-08-07-10010-Customizable User Profile-Trial-,10007,5.000,1 checked out of 1,Syntax-FREE,1 checked out of 1
TA10011-GT1198-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-5-10007-2024-08-07-10011-Eco-conscious Subscriptio-Trial-,10007,5.000,1 checked out of 1,Syntax-FREE,1 checked out of 1
TA10018-GT1193-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-1-10018-2024-08-07-10018-For our upcoming music st-Trial-,10018,5.000,1 checked out of 1,Syntax-FREE,1 checked out of 1
TA10019-GT1195-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-2-10018-2024-08-07-10019-Offline Playback Capabili-Trial-,10018,5.000,1 checked out of 1,Syntax-FREE,1 checked out of 1
TA10020-GT1196-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-3-10018-2024-08-07-10020-Voice-Activated Controls:-Trial-,10018,5.000,1 checked out of 1,Syntax-FREE,1 checked out of 1
TA10022-GT1197-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-4-10018-2024-08-07-10022-Customizable User Profile-Trial-,10018,5.000,1 checked out of 1,Syntax-FREE,1 checked out of 1
TA10023-GT1198-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-5-10018-2024-08-07-10023-Eco-conscious Subscriptio-Trial-,10018,5.000,1 checked out of 1,Syntax-FREE,1 checked out of 1
TA10030-GT1193-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-1-10030-2024-08-07-10030-For our upcoming music st-Trial-,10030,5.000,1 checked out of 1,Syntax-FREE,1 checked out of 1
TA10032-GT1195-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-2-10030-2024-08-07-10032-Offline Playback Capabili-Trial-,10030,5.000,1 checked out of 1,Syntax-FREE,1 checked out of 1
TA10033-GT1196-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-3-10030-2024-08-07-10033-Voice-Activated Controls:-Trial-,10030,5.000,1 checked out of 1,Syntax-FREE,1 checked out of 1
TA10035-GT1197-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-4-10030-2024-08-07-10035-Customizable User Profile-Trial-,10030,5.000,1 checked out of 1,Syntax-FREE,1 checked out of 1
TA10036-GT1198-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-5-10030-2024-08-07-10036-Eco-conscious Subscriptio-Trial-,10030,5.000,1 checked out of 1,Syntax-FREE,1 checked out of 1
TA10043-GT1193-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-1-10043-2024-08-07-10043-For our upcoming music st-Trial-,10043,5.000,1 checked out of 1,Syntax-FREE,1 checked out of 1
TA10045-GT1195-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-2-10043-2024-08-07-10045-Offline Playback Capabili-Trial-,10043,5.000,1 checked out of 1,Syntax-FREE,1 checked out of 1
TA10046-GT1196-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-3-10043-2024-08-07-10046-Voice-Activated Controls:-Trial-,10043,5.000,1 checked out of 1,Syntax-FREE,1 checked out of 1
TA10047-GT1197-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-4-10043-2024-08-07-10047-Customizable User Profile-Trial-,10043,5.000,1 checked out of 1,Syntax-FREE,1 checked out of 1
TA10048-GT1198-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-5-10043-2024-08-07-10048-Eco-conscious Subscriptio-Trial-,10043,5.000,1 checked out of 1,Syntax-FREE,1 checked out of 1
TA10062-GT1193-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-1-10062-2024-08-07-10062-For our upcoming music st-Trial-,10062,5.000,1 checked out of 1,Syntax-FREE,1 checked out of 1
TA10064-GT1195-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-2-10062-2024-08-07-10064-Offline Playback Capabili-Trial-,10062,5.000,1 checked out of 1,Syntax-FREE,1 checked out of 1
TA10065-GT1196-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-3-10062-2024-08-07-10065-Voice-Activated Controls:-Trial-,10062,5.000,1 checked out of 1,Syntax-FREE,1 checked out of 1
TA10066-GT1197-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-4-10062-2024-08-07-10066-Customizable User Profile-Trial-,10062,5.000,1 checked out of 1,Syntax-FREE,1 checked out of 1
TA10067-GT1198-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-5-10062-2024-08-07-10067-Eco-conscious Subscriptio-Trial-,10062,5.000,1 checked out of 1,Syntax-FREE,1 checked out of 1
TA10068-GT1193-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-1-10068-2024-08-07-10068-For our upcoming music st-Trial-,10068,5.000,1 checked out of 1,Syntax-FREE,1 checked out of 1
TA10069-GT1195-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-2-10068-2024-08-07-10069-Offline Playback Capabili-Trial-,10068,5.000,1 checked out of 1,Syntax-FREE,1 checked out of 1
TA10070-GT1196-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-3-10068-2024-08-07-10070-Voice-Activated Controls:-Trial-,10068,5.000,1 checked out of 1,Syntax-FREE,1 checked out of 1
TA10941-GT1197-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-4-10068-2024-08-07-10941-Customizable User Profile-Trial-,10068,4.000,1 checked out of 1,Syntax-FREE,1 checked out of 1
TA10080-GT1193-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-1-10080-2024-08-07-10080-For our upcoming music st-Trial-,10080,5.000,1 checked out of 1,Syntax-FREE,1 checked out of 1
TA10082-GT1195-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-2-10080-2024-08-07-10082-Offline Playback Capabili-Trial-,10080,5.000,1 checked out of 1,Syntax-FREE,1 checked out of 1
TA10947-GT1196-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-3-10080-2024-08-07-10947-Voice-Activated Controls:-Trial-,10080,4.000,1 checked out of 1,Syntax-FREE,1 checked out of 1
TA10084-GT1197-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-4-10080-2024-08-07-10084-Customizable User Profile-Trial-,10080,5.000,1 checked out of 1,Syntax-FREE,1 checked out of 1
TA10086-GT1198-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-5-10080-2024-08-07-10086-Eco-conscious Subscriptio-Trial-,10080,5.000,1 checked out of 1,Syntax-FREE,1 checked out of 1
TA10100-GT1193-FREE-EXP112-Eng-Eng-Eng-vs-Eng-json-Eng-Generation-1-10100-2024-08-07-10100-For our upcoming music st-Trial-,10100,5.000,1 checked out of 1,Syntax-FREE,1 checked out of 1
